timestamp,open,high,low,close,SUPERT_10_1.5,SUPERTd_10_1.5,SUPERTl_10_1.5,SUPERTs_10_1.5,SUPERT_10_1.0,SUPERTd_10_1.0,SUPERTl_10_1.0,SUPERTs_10_1.0,MACD_12_20_9,MACDh_12_20_9,MACDs_12_20_9,EMA_200,EMA_100,EMA_50,timestamp,call,put,diff,sellOrBuy
2020-09-18 09:15:00,22451.8,22469.4,22404.85,22432.9,22378.494698282506,1,22378.494698282506,,22398.03813218833,1,22398.03813218833,,-1.0252852111589164,5.598133224478363,-6.623418435637277,22383.940043260733,22374.54589834585,22358.041033617286,9:15,6647000.0,5133575.0,-1513425.0,SELL
2020-09-18 09:18:00,22434.05,22462.3,22421.65,22440.9,22383.110228454247,1,22383.110228454247,,22402.731818969503,1,22402.731818969503,,4.662312962802389,9.028585118751732,-4.3662721559493445,22384.506808999435,22375.859840952868,22361.290404847972,9:18,6907975.0,5406575.0,-1501400.0,SELL
2020-09-18 09:21:00,22438.1,22454.45,22430.5,22432.9,22385.904205608822,1,22385.904205608822,,22404.76113707255,1,22404.76113707255,,8.479378041582095,10.276520158025154,-1.7971421164430563,22384.988333287998,22376.98934905281,22364.098624265698,9:21,7198675.0,5814250.0,-1384425.0,SELL
2020-09-18 09:24:00,22432.25,22436.05,22391.7,22391.7,22385.904205608822,1,22385.904205608822,,22452.2524766347,-1,,22452.2524766347,8.862708039014253,8.527880124365847,0.3348279146484048,22385.05511604135,22377.280649071567,22365.181031157244,9:24,7385075.0,5848350.0,-1536725.0,SELL
2020-09-18 09:27:00,22386.65,22398.2,22379.35,22384.7,22443.41209345685,-1,,22443.41209345685,22425.199728971234,-1,,22425.199728971234,8.616060190324786,6.624985820541108,1.9910743697836812,22385.0515825484,22377.427566911734,22365.946480915787,9:27,7576625.0,6057400.0,-1519225.0,SELL
2020-09-18 09:30:00,22386.15,22397.5,22320.1,22329.2,22419.583384111167,-1,,22419.583384111167,22399.322256074112,-1,,22399.322256074112,5.0482446550231534,2.445736228191578,2.602508426831576,22384.49584540862,22376.472565586744,22364.505442448502,9:30,7605225.0,6040725.0,-1564500.0,SELL
2020-09-18 09:33:00,22332.45,22365.8,22328.65,22365.4,22407.50254570005,-1,,22407.50254570005,22387.410030466694,-1,,22387.410030466694,4.3644848546573485,1.4095811422606177,2.9549037123967308,22384.30583699659,22376.25330686225,22364.5405231368,9:33,7710850.0,6167725.0,-1543125.0,SELL
2020-09-18 09:36:00,22365.2,22365.35,22337.35,22353.9,22407.50254570005,-1,,22407.50254570005,22387.410030466694,-1,,22387.410030466694,3.1030792220772128,0.11854040774438525,2.9845388143328275,22384.003291354835,22375.81066712241,22364.123247719668,9:36,7843700.0,5914550.0,-1929150.0,SELL
2020-09-18 09:39:00,22353.3,22382.6,22353.3,22378.95,22407.50254570005,-1,,22407.50254570005,22387.410030466694,-1,,22387.410030466694,3.5600532363750963,0.4604115376338154,3.099641698741282,22383.953009848818,22375.872832129888,22364.704688985566,9:39,7955200.0,6322575.0,-1632625.0,SELL
2020-09-18 09:42:00,22380.0,22405.0,22380.0,22398.95,22407.50254570005,-1,,22407.50254570005,22355.69106278977,1,22355.69106278977,,5.02989703140338,1.5442042661296782,3.485692765273701,22384.102233631416,22376.32980575108,22366.04764235868,9:42,8015675.0,6436975.0,-1578700.0,SELL
