timestamp,open,high,low,close,SUPERT_10_1.5,SUPERTd_10_1.5,SUPERTl_10_1.5,SUPERTs_10_1.5,SUPERT_10_1.0,SUPERTd_10_1.0,SUPERTl_10_1.0,SUPERTs_10_1.0,MACD_12_20_9,MACDh_12_20_9,MACDs_12_20_9,EMA_200,EMA_100,EMA_50
2020-09-01 09:15:00,23898.95,23953.4,23572.5,23693.6,0.0,1,,,0.0,1,,,,,,,,
2020-09-01 09:18:00,23678.6,24010.1,23635.25,23951.8,23256.101315789474,1,23256.101315789474,,23444.959210526315,1,23444.959210526315,,,,,,,
2020-09-01 09:21:00,23962.85,23978.25,23898.4,23913.7,23536.621678966792,1,23536.621678966792,,23670.52278597786,1,23670.52278597786,,,,,,,
2020-09-01 09:24:00,23917.25,24091.0,23912.3,24081.1,23638.810686246004,1,23638.810686246004,,23759.757124164003,1,23759.757124164003,,,,,,,
2020-09-01 09:27:00,24083.0,24116.3,24045.35,24074.55,23780.600595223557,1,23780.600595223557,,23880.675396815703,1,23880.675396815703,,,,,,,
2020-09-01 09:30:00,24074.0,24176.5,24074.0,24176.5,23856.286205899363,1,23856.286205899363,,23945.94080393291,1,23945.94080393291,,,,,,,
2020-09-01 09:33:00,24181.95,24199.65,24142.6,24163.6,23937.313152303483,1,23937.313152303483,,24015.25043486899,1,24015.25043486899,,,,,,,
2020-09-01 09:36:00,24162.9,24162.9,24064.65,24095.5,23937.313152303483,1,23937.313152303483,,24015.25043486899,1,24015.25043486899,,,,,,,
2020-09-01 09:39:00,24095.65,24097.7,23982.05,24059.05,23937.313152303483,1,23937.313152303483,,24015.25043486899,1,24015.25043486899,,,,0.0,,,
2020-09-01 09:42:00,24068.5,24126.8,24031.4,24031.7,23937.313152303483,1,23937.313152303483,,24015.25043486899,1,24015.25043486899,,,,0.0,,,
2020-09-01 09:45:00,24029.8,24068.0,23924.7,23929.6,24199.321620782128,-1,,24199.321620782128,24131.664413854753,-1,,24131.664413854753,,,0.0,,,
2020-09-01 09:48:00,23933.3,23971.05,23832.35,23914.05,24105.379339323517,-1,,24105.379339323517,24037.48622621568,-1,,24037.48622621568,,,0.0,,,
2020-09-01 09:51:00,23916.05,23916.05,23681.0,23727.35,24022.16853643358,-1,,24022.16853643358,23947.62069095572,-1,,23947.62069095572,,,0.0,,,
2020-09-01 09:54:00,23725.65,23726.45,23630.45,23656.55,23891.941788480424,-1,,23891.941788480424,23820.777858986952,-1,,23820.777858986952,,,0.0,,,
2020-09-01 09:57:00,23656.15,23817.5,23624.65,23817.45,23891.941788480424,-1,,23891.941788480424,23820.777858986952,-1,,23820.777858986952,,,0.0,,,
2020-09-01 10:00:00,23805.8,23809.65,23691.95,23697.0,23891.941788480424,-1,,23891.941788480424,23820.777858986952,-1,,23820.777858986952,,,0.0,,,
2020-09-01 10:03:00,23700.1,23733.45,23672.95,23721.9,23891.941788480424,-1,,23891.941788480424,23820.777858986952,-1,,23820.777858986952,,,0.0,,,
2020-09-01 10:06:00,23721.45,23782.4,23716.35,23716.35,23891.941788480424,-1,,23891.941788480424,23820.777858986952,-1,,23820.777858986952,,,0.0,,,
2020-09-01 10:09:00,23717.15,23792.6,23717.15,23762.0,23891.941788480424,-1,,23891.941788480424,23820.777858986952,-1,,23820.777858986952,,,0.0,,,
2020-09-01 10:12:00,23762.2,23879.6,23755.4,23848.45,23891.941788480424,-1,,23891.941788480424,23695.69111369662,1,23695.69111369662,,-79.6937065019847,-23.944221489672373,-55.749485012312334,,,
